share_jump_screen,education,education_label,education_component_ppp_2021,within_wage_component_ppp_2021,window,aggregation
baseline_10pp,EDU_AGGREGATE_ADV,Advanced,262.11217177479676,43.59873697204797,2010-2019,fixed_employment_weights
baseline_10pp,EDU_AGGREGATE_BAS,Basic,-25.96577605660535,30.120598298073258,2010-2019,fixed_employment_weights
baseline_10pp,EDU_AGGREGATE_INT,Intermediate,-113.63591029865528,62.948705350579054,2010-2019,fixed_employment_weights
baseline_10pp,EDU_AGGREGATE_LTB,Less than basic,-3.3131209428546975,3.9986618063113006,2010-2019,fixed_employment_weights
baseline_10pp,EDU_AGGREGATE_ADV,Advanced,140.95404990190264,48.727359814305245,2010-2019,equal_country_weights
baseline_10pp,EDU_AGGREGATE_BAS,Basic,-34.80692213264001,45.169128502802245,2010-2019,equal_country_weights
baseline_10pp,EDU_AGGREGATE_INT,Intermediate,-20.73055897188253,49.20121226839733,2010-2019,equal_country_weights
baseline_10pp,EDU_AGGREGATE_LTB,Less than basic,-10.380752322099209,9.299504214074481,2010-2019,equal_country_weights
baseline_10pp,EDU_AGGREGATE_ADV,Advanced,262.60069217065364,43.562077952304676,2010-2019,changing_employment_weights
baseline_10pp,EDU_AGGREGATE_BAS,Basic,-25.95801929853355,29.950361999671063,2010-2019,changing_employment_weights
baseline_10pp,EDU_AGGREGATE_INT,Intermediate,-113.94639536580976,62.91351247347256,2010-2019,changing_employment_weights
baseline_10pp,EDU_AGGREGATE_LTB,Less than basic,-3.300579505214286,3.969796321178478,2010-2019,changing_employment_weights
baseline_10pp,EDU_AGGREGATE_ADV,Advanced,92.91093913515247,43.601423149601835,2015-2019,fixed_employment_weights
baseline_10pp,EDU_AGGREGATE_BAS,Basic,-14.909801975209442,20.747666461067983,2015-2019,fixed_employment_weights
baseline_10pp,EDU_AGGREGATE_INT,Intermediate,-29.873340167991827,44.78231381075135,2015-2019,fixed_employment_weights
baseline_10pp,EDU_AGGREGATE_LTB,Less than basic,-3.5584731722519582,3.665496188974993,2015-2019,fixed_employment_weights
baseline_10pp,EDU_AGGREGATE_ADV,Advanced,66.06268269104808,27.075022181894546,2015-2019,equal_country_weights
baseline_10pp,EDU_AGGREGATE_BAS,Basic,-26.984622770862117,38.878981556264435,2015-2019,equal_country_weights
baseline_10pp,EDU_AGGREGATE_INT,Intermediate,-6.948572593886337,28.60995677415926,2015-2019,equal_country_weights
baseline_10pp,EDU_AGGREGATE_LTB,Less than basic,-1.9872644171814704,5.543335340045119,2015-2019,equal_country_weights
baseline_10pp,EDU_AGGREGATE_ADV,Advanced,92.94505411335929,43.61261025114379,2015-2019,changing_employment_weights
baseline_10pp,EDU_AGGREGATE_BAS,Basic,-14.911549548533548,20.741891056369308,2015-2019,changing_employment_weights
baseline_10pp,EDU_AGGREGATE_INT,Intermediate,-29.89627366190847,44.7838279208325,2015-2019,changing_employment_weights
baseline_10pp,EDU_AGGREGATE_LTB,Less than basic,-3.556143994370438,3.6649104780189745,2015-2019,changing_employment_weights
baseline_10pp,EDU_AGGREGATE_ADV,Advanced,48.930327636635404,8.048056664939365,2019-2023,fixed_employment_weights
baseline_10pp,EDU_AGGREGATE_BAS,Basic,-17.70176323392211,4.784459728707196,2019-2023,fixed_employment_weights
baseline_10pp,EDU_AGGREGATE_INT,Intermediate,6.1861990645550815,0.7297153453187664,2019-2023,fixed_employment_weights
baseline_10pp,EDU_AGGREGATE_LTB,Less than basic,-6.603331257510083,0.1613163016763447,2019-2023,fixed_employment_weights
baseline_10pp,EDU_AGGREGATE_ADV,Advanced,50.42617560050816,1.0342171124162869,2019-2023,equal_country_weights
baseline_10pp,EDU_AGGREGATE_BAS,Basic,-14.021757136120339,4.151798965195307,2019-2023,equal_country_weights
baseline_10pp,EDU_AGGREGATE_INT,Intermediate,1.1264227682314445,0.26347950901025663,2019-2023,equal_country_weights
baseline_10pp,EDU_AGGREGATE_LTB,Less than basic,-8.406447948777513,-0.17158511360559991,2019-2023,equal_country_weights
baseline_10pp,EDU_AGGREGATE_ADV,Advanced,48.94696687102733,8.007445653745005,2019-2023,changing_employment_weights
baseline_10pp,EDU_AGGREGATE_BAS,Basic,-17.698804674248883,4.77799348979608,2019-2023,changing_employment_weights
baseline_10pp,EDU_AGGREGATE_INT,Intermediate,6.178883396223123,0.7171613733701865,2019-2023,changing_employment_weights
baseline_10pp,EDU_AGGREGATE_LTB,Less than basic,-6.607103778276379,0.16292689354347747,2019-2023,changing_employment_weights
