share_jump_screen,window,start_year,end_year,country_code,country,source,source_label,endpoint_pair,endpoints_clean,stable_currency,stable_reference_period,no_reported_break,stable_education_distribution,max_annual_education_share_change,wdi_complete,eligible,currency_code,reference_period,midpoint_employees_thousands,max_abs_reconstruction_error,max_unknown_education_share,selected
baseline_10pp,2010-2019,2010,2019,AFG,Afghanistan,BA:15715,LFS - Labour Force Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,AGO,Angola,BA:13951,LFS - Employment Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,ARG,Argentina,BA:150,"LFS - Permanent Household Survey, Urban",True,True,True,True,True,True,0.014948867655840775,False,False,ARG,Not stated,8431.768,0.002401862177741132,0.0028550862978588094,False
baseline_10pp,2010-2019,2010,2019,ARM,Armenia,BA:867,LFS - Household Labour Force Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,ARM,Armenia,BB:173,HIES - Households Living Conditions Survey,True,False,True,True,True,True,0.0473056959250121,True,False,ARM,Not stated,677.756,0.00017031110635404813,0.0,False
baseline_10pp,2010-2019,2010,2019,ATG,Antigua and Barbuda,BA:16714,LFS - Labour Force Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,AUS,Australia,BB:15747,"HIES - Household, Income and Labour Dynamics Survey",False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BDI,Burundi,BB:7040,HIES - Living Standards Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BEN,Benin,BB:426,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BFA,Burkina Faso,BA:15678,LFS - Regional Integrated Survey on Employment and the Informal Sector,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BFA,Burkina Faso,BA:904,LFS - Labour Force Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BFA,Burkina Faso,BB:16126,HIES - Harmonized Survey on Household Living Conditions,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BGD,Bangladesh,BA:673,LFS - Labour Force Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BHS,Bahamas,BA:17,LFS - Labour Force & Household Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BIH,Bosnia and Herzegovina,BA:493,LFS - Labour Force Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BIH,Bosnia and Herzegovina,BB:15892,HIES - Living Standards Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BLZ,Belize,BA:934,LFS - Labour Force Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BOL,"Bolivia, Plurinational State of",BA:74,LFS - Continuous Employment Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BOL,"Bolivia, Plurinational State of",BB:15890,HIES - Continuous Household Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BOL,"Bolivia, Plurinational State of",BB:73,HIES - Household Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BOL,"Bolivia, Plurinational State of",BX:15722,HS - Survey of Improvement of Living Conditions,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BRA,Brazil,BX:356,HS - National Household Sample Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BRA,Brazil,BX:6355,HS - Continuous National Household Sample Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BRN,Brunei Darussalam,BA:8230,LFS - Labour Force Survey,False,False,False,False,False,False,,True,False,,,,,,False
baseline_10pp,2010-2019,2010,2019,BTN,Bhutan,BA:625,LFS - Labour Force Survey,False,False,False,False,False,False,,True,False,,,,,,False
