ref_area,source,time,education_groups,stated_education_employees,weighted_payroll,reconstructed_earnings,published_total_earnings,published_total_employees,unknown_education_employees,relative_reconstruction_error,unknown_education_share
AFG,BA:15715,2020,4,914.155,11985868.692129001,13111.418405116201,13202.245,929.811,15.656,-0.006879632583988539,0.01683783048382951
AFG,BB:6361,2014,4,2200.698,19489412.735519998,8856.014198913253,8848.569,2272.727,72.029,0.0008414014642654637,0.03169276380313166
AGO,BA:13951,2019,4,2362.439,192356028.952867,81422.64369698732,82234.658,2544.053,181.614,-0.009874356174894999,0.07138766370040248
AGO,BA:13951,2020,4,2150.874,190107219.754232,88386.03272633915,88286.47,2338.599,187.725,0.0011277234930692176,0.08027241951270825
AGO,BA:13951,2021,4,1806.815,159794981.51516,88440.1455130492,88751.625,2502.571,695.756,-0.0035095637623627075,0.2780164878439013
AGO,BA:13951,2022,4,112.019,11309824.845353,100963.45124802935,96491.325,2839.694,2727.675,0.046347443648735796,0.960552439805134
AGO,BA:13951,2023,4,98.529,8640433.213758,87694.31551886247,125379.111,2936.413,2837.884,-0.30056677847346946,0.9664457962827436
AGO,BA:13951,2024,4,916.768,99528359.11153199,108564.39045814425,111867.158,3350.072,2433.305,-0.029524014026134002,0.7263440905150694
ARG,BA:150,2004,4,6871.361,4689988.861022,682.5414733736155,685.086,6883.947,12.587,-0.003714171106086654,0.001828456843145364
ARG,BA:150,2005,4,7110.53,5793112.142002,814.7229731119902,816.306,7120.227,9.697,-0.0019392567101183136,0.0013618947822871376
ARG,BA:150,2006,4,7495.478,7680452.916344,1024.6782014894848,1026.552,7508.825,13.347,-0.0018253322876144063,0.0017775084650394702
ARG,BA:150,2008,4,7831.811,12794489.981453001,1633.6566320935224,1636.195,7844.958,13.146,-0.0015513847105495132,0.001675725988590379
ARG,BA:150,2009,4,7878.005999999999,15478043.709128,1964.7159076964401,1968.266,7900.833,22.828,-0.0018036649027925848,0.002889315594950558
ARG,BA:150,2010,4,8027.909000000001,19388319.064607,2415.114454412351,2418.527,8050.895,22.986,-0.0014110016500329414,0.0028550862978588094
ARG,BA:150,2011,4,8254.324,25960222.371892,3145.0452359141705,3150.631,8277.641,23.317,-0.0017729032964601049,0.002816865336392337
ARG,BA:150,2012,4,8328.251,32662060.752178,3921.839141516988,3925.666,8349.252,21.002,-0.0009748303811409515,0.002515434915606811
ARG,BA:150,2013,4,8346.983,41538977.878256,4976.52599487216,4981.156,8366.008,19.025,-0.0009295041407738239,0.002274083409913067
ARG,BA:150,2014,4,8415.532,54341425.153874,6457.277466697768,6460.093,8434.052,18.52,-0.0004358347940550415,0.0021958603053431496
ARG,BA:150,2017,4,8625.802,125645096.010542,14566.192918703908,14490.073,8636.831,11.029,0.005253246046718149,0.0012769730008610797
ARG,BA:150,2018,4,8733.944,162140782.665278,18564.44037942973,18457.024,8746.415,12.471,0.005819810356736134,0.0014258413304193774
ARG,BA:150,2019,4,8835.627,226405203.144611,25624.12414473936,25562.726,8849.37,13.742,0.002401862177741132,0.0015528789055040077
ARG,BA:150,2020,4,7980.0830000000005,289076963.995475,36224.80668377446,36282.026,7983.676,3.593,-0.0015770705920759578,0.0004500433133809538
ARG,BA:150,2021,4,8858.989,460973977.54452,52034.60321990692,51752.749,8864.288,5.298,0.005446169050979683,0.0005976791367789494
ARG,BA:150,2022,4,9432.822,789589642.178679,83706.61952262843,83060.662,9440.606,7.784,0.007776936844404587,0.0008245233409804413
ARG,BA:150,2023,4,9854.015,1887587830.323459,191555.2016435391,190754.004,9869.985,15.97,0.0042001616046765215,0.0016180369068443366
ARG,BA:150,2024,4,9778.57,5806466401.608471,593795.0438160662,592512.448,9794.236,15.666,0.0021646731986738883,0.001599512202891578
ARG,BA:150,2025,4,9657.996000000001,9720306389.231583,1006451.6892771111,1006879.138,9669.291,11.296,-0.0004245283338951734,0.001168234568594533
ARM,BA:867,2015,4,613.435,61699045.76874299,100579.59811348065,100331.238,613.474,0.0,0.002475401663843241,0.0
ARM,BA:867,2017,4,603.1179999999999,62646664.798519,103871.32335383624,103505.383,603.291,0.0,0.0035354717139323903,0.0
ARM,BB:173,2007,4,673.221,39019630.45323,57959.61571791433,57952.92,673.221,0.0,0.0001155371966473522,0.0
ARM,BB:173,2011,4,642.663,53154161.73967101,82709.22978243808,82681.486,643.029,0.0,0.00033555011865746905,0.0
ARM,BB:173,2013,4,658.525,61477811.98013501,93356.83835865762,93306.883,658.932,0.0,0.000535387712583027,0.0
ARM,BB:173,2020,4,743.905,93558130.224672,125766.23389367192,125733.844,744.804,0.0,0.0002576068037172212,0.0
ARM,BB:173,2022,4,747.087,106743414.11395901,142879.49611485546,142818.811,747.332,0.0,0.00042490981706513864,0.0
ARM,BB:173,2023,4,794.4849999999999,126468997.86705899,159183.61941013235,159067.084,794.798,0.0,0.0007326180074587049,0.0
ATG,BA:16714,2018,4,30.008000000000003,79776.873776,2658.5201871500926,2672.81,30.609,0.601,-0.00534636313464381,0.01963474794994936
ATG,BA:16714,2023,4,44.865,128211.950139,2857.727630424607,2840.209,44.864,0.0,0.006168077921240015,0.0
BDI,BB:7040,2014,4,467.204,29512716.531324,63168.80106190015,64028.147,467.28,0.0,-0.01342137760288216,0.0
BDI,BB:7040,2020,4,717.073,69274799.110366,96607.73604691015,96843.791,719.85,2.777,-0.002437481542723193,0.0038577481419740226
BEN,BB:426,2011,4,296.423,23582613.538778998,79557.30000296535,78811.643,296.423,0.0,0.009461254385539864,0.0
BEN,BB:426,2019,4,767.1510000000001,51246908.142774,66801.59205003186,74175.732,767.151,0.0,-0.09941445471637736,0.0
BEN,BB:426,2022,4,1043.692,75877076.177156,72700.63982205094,84524.927,1043.692,0.0,-0.13989112558416114,0.0
BFA,BA:15678,2018,4,1107.6280000000002,107419894.927924,96981.92437165185,107024.67,1107.629,0.0,-0.09383580092653539,0.0
BFA,BA:15678,2023,4,1307.2,129872879.21727401,99351.95778555232,103666.669,1307.2,0.0,-0.041621007562687974,0.0
BFA,BA:904,2024,4,1001.902,100331431.286854,100140.96317489534,102930.888,1001.902,0.0,-0.02710483586913839,0.0
BFA,BA:904,2025,4,1178.408,145217491.425904,123231.9293707307,123467.988,1178.409,0.0,-0.0019119014822635988,0.0
BFA,BB:16126,2019,4,1176.528,128767021.07272099,109446.62691641932,111405.428,1176.575,0.0,-0.01758263595181985,0.0
BFA,BB:16126,2022,4,1544.025,119419634.538158,77343.07057085086,84008.694,1544.025,0.0,-0.07934444772048405,0.0
BGD,BA:673,2013,4,23262.239999999998,261314712.507134,11233.428616811365,11229.39,23347.938,85.699,0.00035964703437724584,0.0036705168567776735
BGD,BA:673,2017,4,23775.398,280474853.839045,11796.852100606055,11811.698,23775.398,0.0,-0.0012568810507977539,0.0
BGD,BA:673,2022,4,26539.603,356427608.133395,13430.027876957882,13403.404,26814.322,274.719,0.0019863518967182733,0.010245233871660077
BGD,BA:673,2023,4,26582.712,367971540.272994,13842.513144369694,13802.508,26904.617,321.905,0.002898396752944746,0.011964675059303018
BGD,BA:673,2024,4,25612.543,398501026.830637,15558.823144997237,15516.525,25988.49,375.947,0.0027260063060019954,0.014465903944400001
BHS,BA:17,2019,4,180.25799999999998,826524.8053319999,4585.232307758879,4585.317,180.259,0.0,-1.8470313202129126e-05,0.0
BHS,BA:17,2023,4,175.38299999999998,353321.949397,2014.5735299145301,2038.117,175.382,0.0,-0.011551579269232256,0.0
BIH,BA:493,2006,4,587.9409999999999,284177.937417,483.3443107675771,484.594,587.94,0.0,-0.002578837609262383,0.0
BIH,BA:493,2007,4,620.2339999999999,327722.60823,528.3854290961154,527.87,620.234,0.0,0.000976431879279823,0.0
BIH,BA:493,2008,4,645.288,394915.79173199995,611.9992805259046,611.119,645.288,0.0,0.0014404404476126504,0.0
BIH,BA:493,2009,4,625.444,420931.201898,673.0118154431093,670.678,625.444,0.0,0.003479785296534703,0.0
BIH,BA:493,2010,4,615.9019999999999,429519.317743,697.382566939221,695.575,615.902,0.0,0.002598665764613333,0.0
