window,start_year,end_year,country,series,survey,common_quarters,n_common_quarters,workers_0,workers_1,mean_income_0_usd_2017_ppp,mean_income_1_usd_2017_ppp,change_usd_2017_ppp,education_component_usd_2017_ppp,within_income_component_usd_2017_ppp,residual_usd_2017_ppp,percent_change,education_contribution_percent_initial,within_income_contribution_percent_initial,income_reconstruction_error_0,income_reconstruction_error_1,worker_reconstruction_error_0,worker_reconstruction_error_1,max_abs_period_income_error,max_abs_period_worker_error,midpoint_workers
2016-2019,2016,2019,Argentina,1,EPHC-S2,"Q2,Q3,Q4",3,11413410.666666666,12075402.333333334,1252.5932205278282,1096.748852928489,-155.8443675993392,28.447050890478664,-184.29141848981791,5.684341886080802e-14,-12.441738071492052,2.2710525990625596,-14.712790670554616,-0.00043035521669501745,-0.0006416776451466917,1.6319794350963718e-16,0.0,0.0008767803663463849,0.0,11744406.5
2016-2019,2016,2019,Bolivia,1,ECE,"Q1,Q2,Q3,Q4",4,4814483.5,5621927.25,985.9641655589846,1021.7032888410286,35.73912328204392,5.886929552575276,29.852193729468745,-9.947598300641403e-14,3.624789270285691,0.5970733783451174,3.0277158919405838,-0.01583308379059027,-0.015130488588985812,-0.0005256885448215526,-9.516218994524305e-06,0.017695119638583518,0.0018630240276027623,5218205.375
2016-2019,2016,2019,Brazil,2,PNADC,"Q1,Q2,Q3,Q4",4,90212756.0,94129113.5,885.0741775691899,916.8040241877451,31.729846618555143,45.264127523479345,-13.534280904924145,-5.684341886080802e-14,3.5849929218022734,5.114162029649866,-1.5291691078475864,-0.00642067262422755,-0.005754733543409144,0.0,0.0,0.0072645533103978255,0.0,92170934.75
2016-2019,2016,2019,Chile,2,NENE,Q4,1,8231331.0,8572754.0,1160.387392221258,1197.6226282709151,37.23523604965703,67.47740560692904,-30.24216955727206,5.3290705182007514e-14,3.208862514300497,5.815075728956448,-2.606213214655955,-0.011426655119050826,-0.009901927686081995,-0.0037634225105314103,-0.003816585436596039,0.011426655119050826,0.003816585436596039,8402042.5
2016-2019,2016,2019,Colombia,1,GEIH,"Q1,Q2,Q3,Q4",4,21951964.75,22155569.75,760.1416187120562,782.9515215084912,22.809902796434926,23.51333543523561,-0.703432638800612,-7.260858581048524e-14,3.000743839691717,3.09328352196731,-0.09253968227558321,-0.007786850847693209,-0.007584804557478996,-0.00027874697910252694,-7.88001588143636e-05,0.008658078047219147,0.00046038599467420233,22053767.25
2016-2019,2016,2019,Costa Rica,1,ECE,"Q1,Q2,Q3,Q4",4,1994233.0,2171303.5,1309.3617456686356,1254.3909707233465,-54.97077494528912,47.35573671533644,-102.3265116606255,-5.684341886080802e-14,-4.198287839638836,3.616703853766086,-7.814991693404917,-0.018094292241686648,-0.006558546552080977,-0.0006066320594895321,-0.0010621719674242726,0.022621549123796297,0.001675870128084687,2082768.25
2016-2019,2016,2019,Dominican Republic,1,ECFNT,"Q1,Q2,Q3,Q4",4,4260119.25,4659592.0,779.2192208293229,849.1629687910442,69.94374796172133,13.419684723359982,56.524063238361336,1.4210854715202004e-14,8.976132273441639,1.7221963171130987,7.253935956328538,-0.0013084743203231597,-0.0009177581997070393,-0.0009309725946151687,-0.0008898969491720946,0.0018305481905535896,0.0012777279330040351,4459855.625
2016-2019,2016,2019,Ecuador,1,ENEMDU,"Q1,Q2,Q3,Q4",4,4936888.5,5140802.25,844.9168691423756,854.0809405039845,9.164071361608876,15.257340770172181,-6.093269408563378,7.283063041541027e-14,1.0846121904171204,1.8057801101378166,-0.7211679197207046,-0.00671797572098936,-0.004789576340688286,-8.056044957895646e-05,-4.848229977855697e-05,0.008105207584585668,0.0001726591121307261,5038845.375
2016-2019,2016,2019,El Salvador,1,EHPM,"Q1,Q2,Q3,Q4",4,2640149.25,2741655.0,627.76707313043,708.6579484836712,80.8908753532412,15.737958599444699,65.15291675379656,-5.684341886080802e-14,12.885491899068533,2.506974206366961,10.378517692701582,-0.007150960970552837,-0.005033503407721946,0.0,0.0,0.008611583032499292,0.0,2690902.125
2016-2019,2016,2019,Guatemala,1,ENEI,Q4,1,6642062.0,7267209.0,609.48869120764,604.8193470835914,-4.669344124048621,19.095597252656255,-23.764941376704755,-1.2079226507921703e-13,-0.7661084104443002,3.133051938145114,-3.8991603485893944,-0.007185712318553586,-0.008980260390641353,0.0,0.0,0.008980260390641353,0.0,6954635.5
