window,start_year,end_year,country,series,survey,education,education_label,common_quarters,share_0,share_1,income_0_usd_2017_ppp,income_1_usd_2017_ppp,education_component_usd_2017_ppp,within_income_component_usd_2017_ppp
2016-2019,2016,2019,Bolivia,1,ECE,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.5694691860507985,0.5518362942174323,808.3108327223985,840.9325101168182,-14.540464735591637,18.289432818952566
2016-2019,2016,2019,Bolivia,1,ECE,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.3679010427598308,0.3862036368400178,1170.290280936636,1178.0877494851657,21.490704918819606,2.940053760739424
2016-2019,2016,2019,Bolivia,1,ECE,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.06262977118937058,0.061960068942549906,1518.5276439326105,1656.945144760073,-1.0633106306526932,8.622707149776755
2016-2019,2016,2019,Brazil,2,PNADC,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.4323708722522567,0.3865659002514668,522.9313818837704,520.9871649326435,-23.90832990401554,-0.7960953775014541
2016-2019,2016,2019,Brazil,2,PNADC,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.40305098593817484,0.42331360371305315,767.7731343995056,753.1375354323111,15.408815786268123,-6.047170367412802
2016-2019,2016,2019,Brazil,2,PNADC,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.16457814180956848,0.19012049603548004,2123.7459435159426,2086.0180559736573,53.76364164122676,-6.691015160009888
2016-2019,2016,2019,Colombia,1,GEIH,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.45843623177283027,0.41978104625361756,458.54862269386143,458.6171863987894,-17.726607251177622,0.030106915156617935
2016-2019,2016,2019,Colombia,1,GEIH,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.4030781344981888,0.4302232511984938,700.8187333196433,695.1449876040477,18.946799056932804,-2.363970083448215
2016-2019,2016,2019,Colombia,1,GEIH,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.1384856337289809,0.14999570254788866,1931.1866595143292,1942.4902020625805,22.29314362948043,1.630430529490985
2016-2019,2016,2019,Costa Rica,1,ECE,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.5478872077635863,0.5316313449501647,854.1284228269845,799.0819069973743,-13.43718016167814,-29.711867550157724
2016-2019,2016,2019,Costa Rica,1,ECE,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.32204737360178076,0.31400055312396447,1401.6250225967808,1228.4176681106585,-10.581740690557847,-55.08408935727466
2016-2019,2016,2019,Costa Rica,1,ECE,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.13006541863463297,0.1543681019258708,2998.5376267321303,2875.2711796646577,71.37465756757243,-17.530554753193115
2016-2019,2016,2019,Dominican Republic,1,ECFNT,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.560126515237807,0.5195518727819947,631.1935062284549,636.1948515629364,-25.71191473502242,2.699922234331655
2016-2019,2016,2019,Dominican Republic,1,ECFNT,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.3088604268530746,0.33993421527034984,720.1323355745224,751.5754255290436,22.86576779029705,10.200054147149133
2016-2019,2016,2019,Dominican Republic,1,ECFNT,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.13101305790911838,0.1405139119476555,1551.3768202371753,1872.7009736344717,16.265831668085355,43.624086856880545
