window,start_year,end_year,country,series,survey,both_endpoint_years,has_common_quarter,common_quarters,n_common_quarters,clean_common_quarters,n_clean_common_quarters,eligible,selected
2016-2019,2016,2019,Bolivia,1,ECE,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2019,2016,2019,Brazil,2,PNADC,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2019,2016,2019,Colombia,1,GEIH,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2019,2016,2019,Costa Rica,1,ECE,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2019,2016,2019,Dominican Republic,1,ECFNT,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2019,2016,2019,Ecuador,1,ENEMDU,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2019,2016,2019,El Salvador,1,EHPM,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2019,2016,2019,Guatemala,1,ENEI,True,True,Q4,1,Q4,1,True,True
2016-2019,2016,2019,Mexico,1,ENOE,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2019,2016,2019,Peru (Lima and Callao),1,EPE,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2019,2016,2019,Uruguay,1,ECH,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2019,2016,2019,Argentina,1,EPHC-S2,True,True,"Q2,Q3,Q4",3,"Q2,Q3,Q4",3,True,True
2016-2019,2016,2019,Chile,2,NENE,True,True,Q4,1,Q4,1,True,True
2016-2019,2016,2019,Paraguay,2,EPHC,False,False,,0,,0,False,False
2016-2019,2016,2019,Colombia,2,GEIH,False,False,,0,,0,False,False
2016-2019,2016,2019,Ecuador,2,ENEMDU,False,False,,0,,0,False,False
2016-2019,2016,2019,Uruguay,3,ECH,False,False,,0,,0,False,False
2016-2019,2016,2019,Paraguay,3,EPHC,False,False,,0,,0,False,False
2016-2019,2016,2019,Uruguay,4,ECH,False,False,,0,,0,False,False
2016-2023,2016,2023,Bolivia,1,ECE,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2023,2016,2023,Brazil,2,PNADC,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2023,2016,2023,Colombia,1,GEIH,False,False,,0,,0,False,False
2016-2023,2016,2023,Costa Rica,1,ECE,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2023,2016,2023,Dominican Republic,1,ECFNT,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2023,2016,2023,Ecuador,1,ENEMDU,False,False,,0,,0,False,False
2016-2023,2016,2023,El Salvador,1,EHPM,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2023,2016,2023,Guatemala,1,ENEI,False,False,,0,,0,False,False
2016-2023,2016,2023,Mexico,1,ENOE,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2023,2016,2023,Peru (Lima and Callao),1,EPE,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2016-2023,2016,2023,Uruguay,1,ECH,False,False,,0,,0,False,False
2016-2023,2016,2023,Argentina,1,EPHC-S2,True,True,"Q2,Q3,Q4",3,"Q2,Q3,Q4",3,True,True
2016-2023,2016,2023,Chile,2,NENE,True,True,Q4,1,Q4,1,True,True
2016-2023,2016,2023,Paraguay,2,EPHC,False,False,,0,,0,False,False
2016-2023,2016,2023,Colombia,2,GEIH,False,False,,0,,0,False,False
2016-2023,2016,2023,Ecuador,2,ENEMDU,False,False,,0,,0,False,False
2016-2023,2016,2023,Uruguay,3,ECH,False,False,,0,,0,False,False
2016-2023,2016,2023,Paraguay,3,EPHC,False,False,,0,,0,False,False
2016-2023,2016,2023,Uruguay,4,ECH,False,False,,0,,0,False,False
2019-2023,2019,2023,Bolivia,1,ECE,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2019-2023,2019,2023,Brazil,2,PNADC,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2019-2023,2019,2023,Colombia,1,GEIH,False,False,,0,,0,False,False
2019-2023,2019,2023,Costa Rica,1,ECE,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2019-2023,2019,2023,Dominican Republic,1,ECFNT,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2019-2023,2019,2023,Ecuador,1,ENEMDU,False,False,,0,,0,False,False
2019-2023,2019,2023,El Salvador,1,EHPM,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2019-2023,2019,2023,Guatemala,1,ENEI,False,False,,0,,0,False,False
2019-2023,2019,2023,Mexico,1,ENOE,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2019-2023,2019,2023,Peru (Lima and Callao),1,EPE,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2019-2023,2019,2023,Uruguay,1,ECH,False,False,,0,,0,False,False
2019-2023,2019,2023,Argentina,1,EPHC-S2,True,True,"Q1,Q2,Q3,Q4",4,"Q1,Q2,Q3,Q4",4,True,True
2019-2023,2019,2023,Chile,2,NENE,True,True,Q4,1,Q4,1,True,True
2019-2023,2019,2023,Paraguay,2,EPHC,False,False,,0,,0,False,False
2019-2023,2019,2023,Colombia,2,GEIH,False,False,,0,,0,False,False
2019-2023,2019,2023,Ecuador,2,ENEMDU,False,False,,0,,0,False,False
2019-2023,2019,2023,Uruguay,3,ECH,False,False,,0,,0,False,False
2019-2023,2019,2023,Paraguay,3,EPHC,False,False,,0,,0,False,False
2019-2023,2019,2023,Uruguay,4,ECH,False,False,,0,,0,False,False
