country,start_year,end_year,start_period,end_period,start_series,end_series,start_survey,end_survey,same_source,workers_0,workers_1,published_total_workers_0,published_total_workers_1,published_total_income_0_usd_2017_ppp,published_total_income_1_usd_2017_ppp,synthetic_income_0_usd_2017_ppp,synthetic_income_1_usd_2017_ppp,income_reconstruction_error_0,income_reconstruction_error_1,worker_reconstruction_error_0,worker_reconstruction_error_1,change_usd_2017_ppp,percent_change,education_component_usd_2017_ppp,within_income_component_usd_2017_ppp,education_contribution_percent_initial,within_income_contribution_percent_initial,residual_usd_2017_ppp,share_low_0,share_low_1,income_low_0_usd_2017_ppp,income_low_1_usd_2017_ppp,share_middle_0,share_middle_1,income_middle_0_usd_2017_ppp,income_middle_1_usd_2017_ppp,share_high_0,share_high_1,income_high_0_usd_2017_ppp,income_high_1_usd_2017_ppp
Argentina,2016,2023,2016-Q4,2023-Q4,1,1,EPHC-S2,EPHC-S2,True,11449922.0,13509415.0,11449922.0,13509415.0,1267.3,918.2,1266.8057040737917,917.7071975507451,-0.0003900386066503564,-0.0005367049109723176,0.0,0.0,-349.0985065230466,-27.5573835356453,34.876744637156115,-383.9752511602029,2.7531250076471503,-30.310508543292464,2.2737367544323206e-13,0.36039573020672105,0.29855400844522134,863.3,622.2,0.4103339743275107,0.4464177020248471,1214.5,834.1,0.22927029546576824,0.2550282895299315,1994.7,1410.0
Bolivia,2016,2023,2016-Q4,2023-Q4,1,1,ECE,ECE,True,4914036.0,6681155.0,4914142.0,6681155.0,997.3,957.7,979.6526571844407,942.5007001184676,-0.017695119638583518,-0.01587062742146016,-2.1570398250600004e-05,0.0,-37.15195706597308,-3.7923601588290716,39.61453648525292,-76.76649355122592,4.043732867433506,-7.83609302626257,-8.526512829121202e-14,0.5742220854710873,0.4737282700371418,801.4,759.6,0.36522707607351673,0.44879889779536625,1159.0,1030.9,0.06055083845539593,0.077472832167492,1588.3,1548.8
Brazil,2016,2023,2016-Q4,2023-Q4,2,2,PNADC,PNADC,True,90052737.0,100864856.0,90052737.0,100864856.0,897.3,944.8,891.8068933485054,941.6845658680165,-0.006121817286854563,-0.0032974535689918863,0.0,0.0,49.87767251951118,5.592878109770306,83.17763429263942,-33.299961773128345,9.326866041630248,-3.7339879318599523,9.947598300641403e-14,0.4261226063567618,0.33029622329505925,523.1,535.2,0.40529563249143663,0.4533291357695489,766.6,759.3,0.16858176115180154,0.2163746409353918,2124.8,1944.3
Chile,2016,2023,2016-Q4,2023-Q4,2,2,NENE,NENE,True,8231331.0,9283492.0,8262426.0,9291127.0,1173.8,1290.9,1160.387392221258,1277.7985366066994,-0.011426655119050826,-0.010149092410954155,-0.0037634225105314103,-0.000821751763806479,117.41114438544128,10.118271292200818,203.1800880905578,-85.76894370511658,17.509677324365157,-7.391406032164342,5.684341886080802e-14,0.3193950042830254,0.19847251443745523,632.2,673.7,0.5393233487998478,0.55309769211844,1080.4,1019.0,0.14128164691712677,0.24842979344410487,2659.8,2336.6
Colombia,2016,2023,2016-Q4,2023-Q4,1,2,GEIH,GEIH,False,22551116.0,22830432.0,22561503.0,22831131.0,754.6,907.7,748.5371914188192,903.2344455856113,-0.008034466712404799,-0.004919636900285059,-0.00046038599467420233,-3.061609168639083e-05,154.69725416679205,20.666608946119325,206.46061646947288,-51.76336230268095,27.5818782067643,-6.9152692606449895,1.2079226507921703e-13,0.46090104809003685,0.34851329138230935,459.2,440.3,0.40166965572790275,0.35592475867298523,687.6,659.1,0.13742929618206035,0.29556194994470536,1897.0,1743.1
Costa Rica,2016,2024,2016-Q4,2024-Q4,1,1,ECE,ECE,True,2062547.0,2231211.0,2063366.0,2231211.0,1328.4,1315.4,1298.3495341439493,1304.4062162655168,-0.022621549123796297,-0.008357749532068942,-0.00039692424901835156,0.0,6.056682121567519,0.46649087647733606,95.2655088546847,-89.20882673311706,7.337431589059477,-6.870940712582132,-1.1368683772161603e-13,0.5451007904304727,0.4489176505494102,854.9,838.2,0.3234559018533881,0.3862485439521408,1374.2,1258.7,0.13144330771613932,0.16483380549844906,2950.7,2681.2
Dominican Republic,2016,2023,2016-Q4,2023-Q4,1,1,ECFNT,ECFNT,True,4307379.0,4956053.0,4312610.0,4957992.0,800.5,836.8,799.0346461734619,835.2812850467903,-0.0018305481905535896,-0.001814907926875729,-0.001212954568115364,-0.00039108574600362406,36.24663887332849,4.5363037819338485,21.318084417303783,14.92855445602468,2.6679799830201425,1.8683237989137018,3.019806626980426e-14,0.5525313653616271,0.484387273501716,640.4,648.2,0.31386000628224264,0.36571037476798574,725.5,797.0,0.13360862835613027,0.14990235173029828,1627.8,1533.2
Ecuador,2016,2024,2016-Q4,2024-Q4,1,2,ENEMDU,ENEMDU,False,4970697.0,8230120.0,4971445.0,8230158.0,842.8,707.5,838.1680714394784,693.7039299062468,-0.005495881063742084,-0.019499745715552387,-0.00015045927290757515,-4.6171653083695355e-06,-144.46414153323155,-17.235700864282194,-25.739673328710573,-118.72446820452086,-3.0709441466202594,-14.164756717661918,-1.1368683772161603e-13,0.4440357157155224,0.4837331654945493,577.0,500.8,0.38053757853274905,0.3661132522976579,790.1,712.8,0.17542670575172858,0.15015358220779285,1603.5,1268.6
El Salvador,2016,2023,2016-Q4,2023-Q4,1,1,EHPM,EHPM,True,2712250.0,2822789.0,2712250.0,2822789.0,563.6,690.5,559.4625829846069,687.4438738070752,-0.007341052191967906,-0.00442596117729878,0.0,0.0,127.98129082246828,22.875755182717835,17.23644100462875,110.74484981783955,3.0808925438187877,19.79486263889905,-1.4210854715202004e-14,0.7523041755000461,0.72623989961701,465.1,586.7,0.20596036501060005,0.20994874218370554,772.8,848.9,0.04173545948935386,0.06381135819928446,1207.6,1302.8
Guatemala,2016,2022,2016-Q4,2022-Q4,1,1,ENEI,ENEI,True,6642062.0,6949059.0,6642062.0,6949059.0,613.9,634.0,609.48869120764,629.333688964218,-0.0071857123185534,-0.007360112043820326,0.0,0.0,19.844997756577982,3.2560075425283332,-15.513497870194055,35.35849562677207,-2.5453298960240973,5.801337438552435,-2.842170943040401e-14,0.7214468940518772,0.7912254018853488,453.9,534.9,0.2312754683711173,0.14978402111710376,907.4,763.1,0.047277637577005455,0.058990576997547436,1526.4,1556.3
Mexico,2016,2023,2016-Q4,2023-Q4,1,1,ENOE,ENOE,True,51337636.0,59263747.0,51389704.0,59363084.0,614.5,673.4,640.205934266237,698.3026234925712,0.041832277080939013,0.036980432866901176,-0.0010131990641549522,-0.0016733800420476806,58.096689226334206,9.074687708560669,33.94801142501247,24.148677801321774,5.302670532712494,3.772017175848181,-3.552713678800501e-14,0.6170656358232,0.533335160194984,491.7,544.3,0.21604424870673827,0.25457468964964364,652.1,667.7,0.16689011547006177,0.2120901501553724,1173.9,1122.3
Paraguay,2017,2023,2017-Q4,2023-Q4,2,3,EPHC,EPHC,False,3055833.0,2938970.0,3058454.0,2939381.0,1007.0,1002.0,999.4558086453023,994.2314367958843,-0.007491749110921324,-0.007753057089935836,-0.0008569689130521499,-0.0001398253577879152,-5.224371849418048,-0.5227216455422222,58.35191276264779,-63.576284612065834,5.838368465909467,-6.361090111451689,-7.105427357601002e-15,0.5608225318595617,0.46699421906314115,751.4,786.7,0.3133001705263344,0.36008125295596755,1061.7,994.8,0.1258772976141039,0.17292452798089125,1949.7,1553.5
Peru (Lima and Callao),2016,2023,2016-Q4,2023-Q4,1,1,EPE,EPE,True,4865613.0,5288430.0,4865613.0,5294304.0,926.8,828.8,924.5851040763002,825.1436466777475,-0.002389831596568408,-0.004411623217003602,0.0,-0.0011094942791347077,-99.44145739855276,-10.755251945995711,26.70567398755177,-126.14713138610469,2.8883954402695973,-13.643647386265327,1.7053025658242404e-13,0.17450689152630922,0.15975667636708815,548.0,485.2,0.5139845688508313,0.49392693105515245,699.4,644.5,0.31150853962285946,0.34631639257775937,1507.1,1239.6
Uruguay,2016,2023,2016-Q4,2023-Q4,1,4,ECH,ECH,False,1652556.0,1668590.0,1653772.0,1669222.0,1129.9,1128.9,1129.3875756101456,1127.739394638587,-0.0004535130452732381,-0.0010280851815156263,-0.0007352887822505158,-0.0003786195005817081,-1.6481809715585314,-0.14593581575998038,47.090372021748024,-48.7385529933067,4.16954932378353,-4.315485139543522,1.4210854715202004e-13,0.6409071765192829,0.6030486818211783,861.2,785.7,0.22307262204730127,0.22933314954542458,1237.1,1204.2,0.13602020143341587,0.16761816863339707,2216.4,2253.7
