country,start_year,end_year,education,education_label,share_0,share_1,income_0_usd_2017_ppp,income_1_usd_2017_ppp,education_component_usd_2017_ppp,within_income_component_usd_2017_ppp
Argentina,2016,2023,Educational attainment - high,High,0.22927029546576824,0.2550282895299315,1994.7,1410.0,43.84912119512833,-141.58469132349285
Argentina,2016,2023,Educational attainment - low,Low,0.36039573020672105,0.29855400844522134,863.3,622.2,-45.93293883835391,-79.43639099449163
Argentina,2016,2023,Educational attainment - middle,Middle,0.4103339743275107,0.4464177020248471,1214.5,834.1,36.960562280381694,-162.95416884221842
Bolivia,2016,2023,Educational attainment - high,High,0.06055083845539593,0.077472832167492,1588.3,1548.8,26.542993237108284,-2.7259674948020365
Bolivia,2016,2023,Educational attainment - low,Low,0.5742220854710873,0.4737282700371418,801.4,759.6,-78.43542294619449,-21.90216243012197
Bolivia,2016,2023,Educational attainment - middle,Middle,0.36522707607351673,0.44879889779536625,1159.0,1030.9,91.50696619433913,-52.13836362630192
Brazil,2016,2023,Educational attainment - high,High,0.16858176115180154,0.2163746409353918,2124.8,1944.3,97.23700356370357,-34.74231528836924
Brazil,2016,2023,Educational attainment - low,Low,0.4261226063567618,0.33029622329505925,523.1,535.2,-50.70653059709991,4.576333919393526
Brazil,2016,2023,Educational attainment - middle,Middle,0.40529563249143663,0.4533291357695489,766.6,759.3,36.64716132603577,-3.1339804041526267
Chile,2016,2023,Educational attainment - high,High,0.14128164691712677,0.24842979344410487,2659.8,2336.6,267.67749965369666,-62.977368762375086
Chile,2016,2023,Educational attainment - low,Low,0.3193950042830254,0.19847251443745523,632.2,673.7,-78.95633974466506,10.745751013449974
Chile,2016,2023,Educational attainment - middle,Middle,0.5393233487998478,0.55309769211844,1080.4,1019.0,14.458928181526206,-33.53732595619148
Colombia,2016,2023,Educational attainment - high,High,0.13742929618206035,0.29556194994470536,1897.0,1743.1,287.80933648070203,-33.31867638945464
Colombia,2016,2023,Educational attainment - low,Low,0.46090104809003685,0.34851329138230935,459.2,440.3,-50.54639357930044,-7.648965508013663
Colombia,2016,2023,Educational attainment - middle,Middle,0.40166965572790275,0.35592475867298523,687.6,659.1,-30.802326431928716,-10.795720405212652
Costa Rica,2016,2024,Educational attainment - high,High,0.13144330771613932,0.16483380549844906,2950.7,2681.2,94.02597223009509,-39.92334100566578
Costa Rica,2016,2024,Educational attainment - low,Low,0.5451007904304727,0.4489176505494102,854.9,838.2,-81.42383706631344,-8.30005398218199
Costa Rica,2016,2024,Educational attainment - middle,Middle,0.3234559018533881,0.3862485439521408,1374.2,1258.7,82.66337369090304,-40.98543174526929
Dominican Republic,2016,2023,Educational attainment - high,High,0.13360862835613027,0.14990235173029828,1627.8,1533.2,25.752229792872544,-13.410069358088057
Dominican Republic,2016,2023,Educational attainment - low,Low,0.5525313653616271,0.484387273501716,640.4,648.2,-43.90523838534069,4.043982691567074
Dominican Republic,2016,2023,Educational attainment - middle,Middle,0.31386000628224264,0.36571037476798574,725.5,797.0,39.47109300977193,24.294641122545663
Ecuador,2016,2024,Educational attainment - high,High,0.17542670575172858,0.15015358220779285,1603.5,1268.6,-36.293469065268916,-54.518419218821876
Ecuador,2016,2024,Educational attainment - low,Low,0.4440357157155224,0.4837331654945493,577.0,500.8,21.392955685917592,-35.34799437410373
Ecuador,2016,2024,Educational attainment - middle,Middle,0.38053757853274905,0.3661132522976579,790.1,712.8,-10.83915994935925,-28.858054611595254
El Salvador,2016,2023,Educational attainment - high,High,0.04173545948935386,0.06381135819928446,1207.6,1302.8,27.70966806070489,5.0240285219791865
El Salvador,2016,2023,Educational attainment - low,Low,0.7523041755000461,0.72623989961701,465.1,586.7,-13.707202686888724,89.89547976711702
El Salvador,2016,2023,Educational attainment - middle,Middle,0.20596036501060005,0.20994874218370554,772.8,848.9,3.2339756308125858,15.825341528743333
Guatemala,2016,2022,Educational attainment - high,High,0.047277637577005455,0.058990576997547436,1526.4,1556.3,18.05373917585238,1.5887098078895585
Guatemala,2016,2022,Educational attainment - low,Low,0.7214468940518772,0.7912254018853488,453.9,534.9,34.49849427286836,61.263227985457654
Guatemala,2016,2022,Educational attainment - middle,Middle,0.2312754683711173,0.14978402111710376,907.4,763.1,-68.0657313189148,-27.49344216657514
Mexico,2016,2023,Educational attainment - high,High,0.16689011547006177,0.2120901501553724,1173.9,1122.3,51.89415982220511,-9.777690853136228
Mexico,2016,2023,Educational attainment - low,Low,0.6170656358232,0.533335160194984,491.7,544.3,-43.37238637541589,30.255540935278216
Mexico,2016,2023,Educational attainment - middle,Middle,0.21604424870673827,0.25457468964964364,652.1,667.7,25.426237978223252,3.6708277191797842
Paraguay,2017,2023,Educational attainment - high,High,0.1258772976141039,0.17292452798089125,1949.7,1553.5,82.40792871046472,-59.19264165036854
Paraguay,2017,2023,Educational attainment - low,Low,0.5608225318595617,0.46699421906314115,751.4,786.7,-72.1586639560872,18.140965653785738
Paraguay,2017,2023,Educational attainment - middle,Middle,0.3133001705263344,0.36008125295596755,1061.7,994.8,48.10264800827027,-22.52460861548303
Peru (Lima and Callao),2016,2023,Educational attainment - high,High,0.31150853962285946,0.34631639257775937,1507.1,1239.6,47.80336485561179,-87.98408468183277
Peru (Lima and Callao),2016,2023,Educational attainment - low,Low,0.17450689152630922,0.15975667636708815,548.0,485.2,-7.619961151253602,-10.49587603185268
Peru (Lima and Callao),2016,2023,Educational attainment - middle,Middle,0.5139845688508313,0.49392693105515245,699.4,644.5,-13.47772971680642,-27.667170672419243
