country,period,year,series,survey,education_groups,positive_incomes,positive_workers,stated_workers,payroll,published_total_income_usd_2017_ppp,published_total_workers,synthetic_income_usd_2017_ppp,income_reconstruction_error,worker_reconstruction_error,complete,dashboard_cells_matched,maximum_dashboard_gap,total_dashboard_gap,start_year,end_year,endpoint
Argentina,2016-Q4,2016,1,EPHC-S2,3,True,True,11449922.0,14504826500.8,1267.3,11449922.0,1266.805704073792,-0.0003900386066503564,0.0,True,3,0.0,0.0,2016,2023,initial
Argentina,2023-Q4,2023,1,EPHC-S2,3,True,True,13509415.0,12397687380.2,918.2,13509415.0,917.7071975507453,-0.0005367049109723176,0.0,True,3,0.0,0.0,2016,2023,final
Bolivia,2016-Q4,2016,1,ECE,3,True,True,4914036.0,4814048424.9,997.3,4914142.0,979.6526571844406,-0.017695119638583518,-2.1570398250600004e-05,True,3,0.0,0.0,2016,2023,initial
Bolivia,2023-Q4,2023,1,ECE,3,True,True,6681155.0,6296993265.1,957.7,6681155.0,942.5007001184676,-0.01587062742146016,0.0,True,3,0.0,0.0,2016,2023,final
Brazil,2016-Q4,2016,2,PNADC,3,True,True,90052737.0,80309651621.5,897.3,90052737.0,891.8068933485054,-0.006121817286854563,0.0,True,3,0.0,0.0,2016,2023,initial
Brazil,2023-Q4,2023,2,PNADC,3,True,True,100864856.0,94982878133.7,944.8,100864856.0,941.6845658680164,-0.0032974535689918863,0.0,True,3,0.0,0.0,2016,2023,final
Chile,2016-Q4,2016,2,NENE,3,True,True,8231331.0,9551532713.6,1173.8,8262426.0,1160.387392221258,-0.011426655119050826,-0.0037634225105314103,True,3,0.0,0.0,2016,2023,initial
Chile,2023-Q4,2023,2,NENE,3,True,True,9283492.0,11862432492.2,1290.9,9291127.0,1277.7985366066994,-0.010149092410954155,-0.000821751763806479,True,3,0.0,0.0,2016,2023,final
Colombia,2016-Q4,2016,1,GEIH,3,True,True,22551116.0,16880349034.0,754.6,22561503.0,748.5371914188194,-0.008034466712404799,-0.00046038599467420233,True,3,0.0,0.0,2016,2023,initial
Colombia,2023-Q4,2023,2,GEIH,3,True,True,22830432.0,20621232590.0,907.7,22831131.0,903.2344455856113,-0.004919636900285059,-3.061609168639083e-05,True,3,0.0,0.0,2016,2023,final
Costa Rica,2016-Q4,2016,1,ECE,3,True,True,2062547.0,2677906936.6,1328.4,2063366.0,1298.349534143949,-0.022621549123796297,-0.00039692424901835156,True,3,0.0,0.0,2016,2024,initial
Costa Rica,2024-Q4,2024,1,ECE,3,True,True,2231211.0,2910405498.2,1315.4,2231211.0,1304.4062162655166,-0.008357749532068942,0.0,True,3,0.0,0.0,2016,2024,final
Dominican Republic,2016-Q4,2016,1,ECFNT,3,True,True,4307379.0,3441745055.2,800.5,4312610.0,799.0346461734619,-0.0018305481905535896,-0.001212954568115364,True,3,0.0,0.0,2016,2023,initial
