country,period,year,series,survey,education_groups,positive_incomes,positive_workers,stated_workers,payroll,published_total_income_usd_2017_ppp,published_total_workers,synthetic_income_usd_2017_ppp,income_reconstruction_error,worker_reconstruction_error,complete,dashboard_cells_matched,maximum_dashboard_gap,total_dashboard_gap
Argentina,2016-Q4,2016,1,EPHC-S2,3,True,True,11449922.0,14504826500.8,1267.3,11449922.0,1266.805704073792,-0.0003900386066503564,0.0,True,3,0.0,0.0
Argentina,2017-Q4,2017,1,EPHC-S2,3,True,True,11881463.0,15472555197.0,1302.9,11881463.0,1302.2432672643092,-0.0005040545979667406,0.0,True,3,0.0,0.0
Argentina,2018-Q4,2018,1,EPHC-S2,3,True,True,11787977.0,13320133236.599998,1130.5,11787977.0,1129.9761813753114,-0.0004633512823428586,0.0,True,3,0.0,0.0
Argentina,2019-Q4,2019,1,EPHC-S2,3,True,True,12236770.0,12979165168.4,1061.6,12236770.0,1060.6692099630866,-0.0008767803663463849,0.0,True,3,0.0,0.0
Argentina,2020-Q4,2020,1,EPHC-S2,3,True,True,11516947.0,11169762281.0,970.7,11516947.0,969.8544484922958,-0.0008710739751769566,0.0,True,3,0.0,0.0
Argentina,2021-Q4,2021,1,EPHC-S2,3,True,True,12636409.0,13350546474.8,1057.1,12636409.0,1056.5142735408454,-0.0005540880324988718,0.0,True,3,0.0,0.0
Argentina,2022-Q4,2022,1,EPHC-S2,3,True,True,13054597.0,12668278796.3,971.2,13054597.0,970.4074967844659,-0.0008160041346109055,0.0,True,3,0.0,0.0
Argentina,2023-Q4,2023,1,EPHC-S2,3,True,True,13509415.0,12397687380.2,918.2,13509415.0,917.7071975507453,-0.0005367049109723176,0.0,True,3,0.0,0.0
Bolivia,2016-Q4,2016,1,ECE,3,True,True,4914036.0,4814048424.9,997.3,4914142.0,979.6526571844406,-0.017695119638583518,-2.1570398250600004e-05,True,3,0.0,0.0
Bolivia,2017-Q4,2017,1,ECE,3,True,True,5183677.0,5111914998.8,1000.4,5183677.0,986.1561588038761,-0.014238145937748768,0.0,True,3,0.0,0.0
Bolivia,2018-Q4,2018,1,ECE,3,True,True,5501258.0,5498870858.0,1020.6,5501745.0,999.5660734326585,-0.020609373473781594,-8.851737039793738e-05,True,3,0.0,0.0
Bolivia,2019-Q4,2019,1,ECE,3,True,True,5677799.0,5704625692.8,1019.5,5677799.0,1004.724840171341,-0.014492555006041154,0.0,True,3,0.0,0.0
Bolivia,2020-Q4,2020,1,ECE,3,True,True,3719249.0,3803320439.4,1027.1,3719249.0,1022.6044127188043,-0.004376971357409834,0.0,True,3,0.0,0.0
Bolivia,2021-Q4,2021,1,ECE,3,True,True,6401070.0,5856595958.8,929.9,6401070.0,914.9401520058366,-0.01608758790640219,0.0,True,3,0.0,0.0
Bolivia,2022-Q4,2022,1,ECE,3,True,True,6430653.0,5983021136.0,942.8,6430653.0,930.3909161324674,-0.013161947250246669,0.0,True,3,0.0,0.0
Bolivia,2023-Q4,2023,1,ECE,3,True,True,6681155.0,6296993265.1,957.7,6681155.0,942.5007001184676,-0.01587062742146016,0.0,True,3,0.0,0.0
Brazil,2016-Q4,2016,2,PNADC,3,True,True,90052737.0,80309651621.5,897.3,90052737.0,891.8068933485054,-0.006121817286854563,0.0,True,3,0.0,0.0
Brazil,2017-Q4,2017,2,PNADC,3,True,True,92090968.0,83381530331.4,911.0,92090968.0,905.4257126648945,-0.006118866449073007,0.0,True,3,0.0,0.0
Brazil,2018-Q4,2018,2,PNADC,3,True,True,93407014.0,85642333241.3,922.7,93407014.0,916.8726155971542,-0.006315578631023991,0.0,True,3,0.0,0.0
Brazil,2019-Q4,2019,2,PNADC,3,True,True,95386149.0,87849870772.6,926.2,95386149.0,920.991901796979,-0.005623081627101053,0.0,True,3,0.0,0.0
Brazil,2020-Q4,2020,2,PNADC,3,True,True,87127800.0,82228290086.79999,949.6,87127800.0,943.7663993214563,-0.006143218911693017,0.0,True,3,0.0,0.0
Brazil,2021-Q4,2021,2,PNADC,3,True,True,95609474.0,80712764763.20001,848.1,95609474.0,844.1921222493078,-0.0046078030311192675,0.0,True,3,0.0,0.0
Brazil,2022-Q4,2022,2,PNADC,3,True,True,99260312.0,90687513516.3,917.3,99260312.0,913.6331700861468,-0.003997416236621739,0.0,True,3,0.0,0.0
Brazil,2023-Q4,2023,2,PNADC,3,True,True,100864856.0,94982878133.7,944.8,100864856.0,941.6845658680164,-0.0032974535689918863,0.0,True,3,0.0,0.0
Chile,2016-Q4,2016,2,NENE,3,True,True,8231331.0,9551532713.6,1173.8,8262426.0,1160.387392221258,-0.011426655119050826,-0.0037634225105314103,True,3,0.0,0.0
Chile,2017-Q4,2017,2,NENE,3,True,True,8428102.0,10225869570.599998,1223.8,8454827.0,1213.3063376072096,-0.008574654676246433,-0.003160916243466602,True,3,0.0,0.0
Chile,2018-Q4,2018,2,NENE,3,True,True,8496464.0,10342444598.400002,1229.1,8517365.0,1217.264570108224,-0.009629346588378409,-0.0024539279460255607,True,3,0.0,0.0
Chile,2019-Q4,2019,2,NENE,3,True,True,8572754.0,10266924177.0,1209.6,8605598.0,1197.6226282709151,-0.009901927686081995,-0.003816585436596039,True,3,0.0,0.0
Chile,2020-Q4,2020,2,NENE,3,True,True,8065189.0,10161533114.6,1273.4,8090579.0,1259.9249831095094,-0.01058191997054396,-0.0031382179198794053,True,3,0.0,0.0
Chile,2021-Q4,2021,2,NENE,3,True,True,8710033.0,10879364458.0,1263.1,8717291.0,1249.0612214672435,-0.011114542421626471,-0.0008325981087473161,True,3,0.0,0.0
Chile,2022-Q4,2022,2,NENE,3,True,True,9004659.0,10989404440.5,1233.0,9017207.0,1220.4131706153448,-0.01020829633791985,-0.0013915617108490467,True,3,0.0,0.0
Chile,2023-Q4,2023,2,NENE,3,True,True,9283492.0,11862432492.2,1290.9,9291127.0,1277.7985366066994,-0.010149092410954155,-0.000821751763806479,True,3,0.0,0.0
