country,start_year,end_year,years_elapsed,start_period,end_period,start_series,end_series,start_survey,end_survey,same_source,workers_0,workers_1,published_total_workers_0,published_total_workers_1,published_total_income_0_usd_2017_ppp,published_total_income_1_usd_2017_ppp,synthetic_income_0_usd_2017_ppp,synthetic_income_1_usd_2017_ppp,income_reconstruction_error_0,income_reconstruction_error_1,worker_reconstruction_error_0,worker_reconstruction_error_1,change_usd_2017_ppp,percent_change,annualized_growth_synthetic_percent,annualization_factor,education_component_usd_2017_ppp,within_income_component_usd_2017_ppp,education_contribution_percent_initial,within_income_contribution_percent_initial,annualized_education_contribution_percentage_points,annualized_within_contribution_percentage_points,residual_usd_2017_ppp,share_low_0,share_low_1,income_low_0_usd_2017_ppp,income_low_1_usd_2017_ppp,annualized_growth_low_percent,share_middle_0,share_middle_1,income_middle_0_usd_2017_ppp,income_middle_1_usd_2017_ppp,annualized_growth_middle_percent,share_high_0,share_high_1,income_high_0_usd_2017_ppp,income_high_1_usd_2017_ppp,annualized_growth_high_percent
Argentina,2017,2022,5,2017-Q4,2022-Q4,1,1,EPHC-S2,EPHC-S2,True,11881463.0,13054597.0,11881463.0,13054597.0,1302.9,971.2,1302.243267264309,970.407496784466,-0.0005040545979667406,-0.0008160041346109055,0.0,0.0,-331.83577047984295,-25.48185725520761,-5.712872612770825,0.22419372950546262,19.059891654624657,-350.89566213446756,1.4636199037269568,-26.945477158934565,0.32813440479497263,-6.041007017565797,-5.684341886080802e-14,0.35155552813656027,0.3140242475504989,922.2,680.2,-5.905919648855273,0.41349790004816744,0.43724789053235424,1238.1,874.5,-6.717362266207527,0.23494657181527223,0.24872786191714688,1983.8,1505.4,-5.369571824242325
Bolivia,2017,2022,5,2017-Q4,2022-Q4,1,1,ECE,ECE,True,5183677.0,6430653.0,5183677.0,6430653.0,1000.4,942.8,986.1561588038761,930.3909161324675,-0.014238145937748768,-0.013161947250246669,0.0,0.0,-55.7652426714086,-5.654808538542933,-1.1574470491557576,0.20468368491464353,19.285555215848923,-75.05079788725759,1.9556289380416858,-7.610437476584626,0.40028533736408334,-1.5577323865198425,7.105427357601002e-14,0.5531372807372065,0.4957869752885127,819.1,763.4,-1.3986080404255419,0.38544550518869136,0.43714705178463215,1137.1,1030.4,-1.9513907029402144,0.06141721407410222,0.06706597292685518,1543.4,1513.0,-0.3970763633801999
Brazil,2017,2022,5,2017-Q4,2022-Q4,2,2,PNADC,PNADC,True,92090968.0,99260312.0,92090968.0,99260312.0,911.0,917.3,905.4257126648946,913.6331700861467,-0.006118866449073007,-0.003997416236621739,0.0,0.0,8.207457421252116,0.90647496602405,0.18064118845115829,0.19927873931641002,63.74565056539066,-55.53819314413835,7.04040648213659,-6.133931516112519,1.403003328035261,-1.2223621395840985,-1.9895196601282805e-13,0.41770187495477296,0.3447786764966042,529.9,538.0,0.3038657521221566,0.40953691571577355,0.4447384670723179,766.5,740.1,-0.6985365340891669,0.17276120932945346,0.21048285643107792,2142.7,1895.6,-2.4208420514866713
Chile,2017,2022,5,2017-Q4,2022-Q4,2,2,NENE,NENE,True,8428102.0,9004659.0,8454827.0,9017207.0,1223.8,1233.0,1213.3063376072098,1220.4131706153448,-0.008574654676246433,-0.01020829633791985,-0.003160916243466602,-0.0013915617108490467,7.106833008135027,0.5857410274597742,0.11687469213759183,0.19953304729984653,137.0784515750382,-129.97161856690315,11.297925950454843,-10.712184922995066,2.2543095930622696,-2.1374349009246774,-2.842170943040401e-14,0.2990469265796736,0.217279632687923,665.8,659.3,-0.19602080821298218,0.5422861517338068,0.5507392339898712,1081.5,994.5,-1.663294867363907,0.1586669216865197,0.23198113332220577,2695.7,2282.3,-3.274666829366124
Colombia,2017,2022,5,2017-Q4,2022-Q4,1,2,GEIH,GEIH,False,22604556.0,22313714.0,22609309.0,22314249.0,761.4,880.4,754.5694801747045,875.4171640453939,-0.008971000558570225,-0.005659740975245475,-0.00021022314304254056,-2.3975711662982698e-05,120.84768387068937,16.01544815233047,3.0156398579600063,0.18829568984126047,188.29909341358558,-67.45140954289634,24.95450695540839,-8.939058803077936,4.698826101817155,-1.683186243857152,1.2789769243681803e-13,0.4519319910552545,0.36181166434238604,469.3,441.5,-1.2138566487350566,0.41066070928356213,0.3502241715565593,699.3,628.1,-2.124711989936401,0.13740729966118334,0.28796416410105463,1858.0,1721.4,-1.5156511571539077
Costa Rica,2017,2022,5,2017-Q4,2022-Q4,1,1,ECE,ECE,True,1993715.0,2172015.0,1995256.0,2173061.0,1295.2,1086.7,1280.1465195878047,1076.8955465777171,-0.011622514215715961,-0.00902222639392924,-0.0007723319714362468,-0.00048134865979371954,-203.2509730100876,-15.877164832314078,-3.398742414867817,0.21406481892475598,64.72304319344707,-267.9740162035347,5.055909007531988,-20.93307383984607,1.0822922461973778,-4.481034661065196,0.0,0.5703207329031481,0.4995794227940415,843.0,709.7,-3.383912608775619,0.2991937162533261,0.34628904496515905,1410.9,1051.2,-5.716038088026753,0.13048555084352578,0.15413153224079945,2891.0,2324.8,-4.265714340996151
Dominican Republic,2017,2022,5,2017-Q4,2022-Q4,1,1,ECFNT,ECFNT,True,4427974.0,4777491.0,4432512.0,4779025.0,793.6,765.1,792.5618434073913,764.21556111775,-0.001308161028992872,-0.001155978149588487,-0.0010237986947356263,-0.0003209859751727601,-28.346282289641294,-3.576538856296011,-0.7257663259450098,0.20292421111751566,23.66753426564861,-52.01381655528997,2.9862066238133376,-6.562745480109356,0.6059736233712214,-1.3317399493162327,6.394884621840902e-14,0.5575850264703451,0.4789694004656419,615.9,610.5,-0.17597137134982566,0.3133792113503828,0.373844555646468,740.0,714.7,-0.6933315286290598,0.12903576217927207,0.1471860438878901,1683.6,1390.2,-3.7573276595369243
Ecuador,2017,2022,5,2017-Q4,2022-Q4,1,2,ENEMDU,ENEMDU,False,5170164.0,8174115.0,5170164.0,8174410.0,861.8,720.2,855.3900367763963,705.2868942876385,-0.007437877957302917,-0.020706894907472347,0.0,-3.6088231444226554e-05,-150.10314248875784,-17.547918029818675,-3.785544756577386,0.21572614769140808,-32.63448230997677,-117.46866017878102,-3.8151581041278373,-13.732759925690832,-0.8230293606371543,-2.9625153959402306,-5.684341886080802e-14,0.4176474866174458,0.4718479003537386,616.0,510.1,-3.7025199971325806,0.40215726232281995,0.3809542684437398,816.2,694.3,-3.1833358142445034,0.18019525105973427,0.1471978312025216,1497.7,1359.4,-1.9190898738899453
El Salvador,2017,2022,5,2017-Q4,2022-Q4,1,1,EHPM,EHPM,True,2691430.0,2869876.0,2693909.0,2869876.0,589.7,630.7,586.7562526240697,628.5797455360441,-0.004991940606970227,-0.0033617480005644997,-0.0009202241055655555,0.0,41.82349291197443,7.127916017074031,1.3865934824700998,0.19452999714764999,17.95683575693049,23.86665715504383,3.060356950032418,4.067559067041594,0.5953312287605971,0.7912622537094991,1.0658141036401503e-13,0.7577180160732399,0.7200537584202245,491.2,541.9,1.9840274236025301,0.20265880962908195,0.22374869158109967,793.2,773.3,-0.5068775189665642,0.039623174297678185,0.0561975499986759,1358.2,1163.0,-3.055494944365056
Guatemala,2017,2022,5,2017-Q4,2022-Q4,1,1,ENEI,ENEI,True,6956627.0,6949059.0,6956627.0,6949059.0,585.5,634.0,579.0744556233933,629.333688964218,-0.010974456663717668,-0.007360112043820326,0.0,0.0,50.25923334082472,8.67923508846871,1.6785430556171654,0.1933975792229996,-2.2608467982919507,52.52008013911667,-0.39042419784483023,9.06965928631354,-0.07550709473327162,1.7540501503504369,0.0,0.7400971764045995,0.7912254018853488,424.9,534.9,4.71217327567206,0.21711843972660888,0.14978402111710376,853.5,763.1,-2.2142467244617547,0.04278438386879158,0.058990576997547436,1853.4,1556.3,-3.433868920268801
