country,start_year,end_year,education,education_label,share_0,share_1,income_0_usd_2017_ppp,income_1_usd_2017_ppp,education_component_usd_2017_ppp,within_income_component_usd_2017_ppp
Argentina,2017,2022,Educational attainment - high,High,0.23494657181527223,0.24872786191714688,1983.8,1505.4,24.04283871173051,-115.69492454879463
Argentina,2017,2022,Educational attainment - low,Low,0.35155552813656027,0.3140242475504989,922.2,680.2,-30.07006200555237,-80.53515285813415
Argentina,2017,2022,Educational attainment - middle,Middle,0.41349790004816744,0.43724789053235424,1238.1,874.5,25.087114948446516,-154.6655847275388
Bolivia,2017,2022,Educational attainment - high,High,0.06141721407410222,0.06706597292685518,1543.4,1513.0,8.632433278777066,-1.9529444424145583
Bolivia,2017,2022,Educational attainment - low,Low,0.5531372807372065,0.4957869752885127,819.1,763.4,-45.378429186278964,-29.212540530316303
Bolivia,2017,2022,Educational attainment - middle,Middle,0.38544550518869136,0.43714705178463215,1137.1,1030.4,56.03155112335082,-43.88531291452673
Brazil,2017,2022,Educational attainment - high,High,0.17276120932945346,0.21048285643107792,2142.7,1895.6,76.16566374524501,-47.34980432471364
Brazil,2017,2022,Educational attainment - low,Low,0.41770187495477296,0.3447786764966042,529.9,538.0,-38.937341816739206,3.088046233378086
Brazil,2017,2022,Educational attainment - middle,Middle,0.40953691571577355,0.4447384670723179,766.5,740.1,26.517328636884855,-11.276435052802798
Chile,2017,2022,Educational attainment - high,High,0.1586669216865197,0.23198113332220577,2695.7,2282.3,182.47907276122265,-80.74695297030348
Chile,2017,2022,Educational attainment - low,Low,0.2990469265796736,0.217279632687923,665.8,659.3,-54.17492056797934,-1.6780613176196888
Chile,2017,2022,Educational attainment - middle,Middle,0.5422861517338068,0.5507392339898712,1081.5,994.5,8.774299381794897,-47.54660427897999
Colombia,2017,2022,Educational attainment - high,High,0.13740729966118334,0.28796416410105463,1858.0,1721.4,269.45162028803765,-29.052870974960836
Colombia,2017,2022,Educational attainment - low,Low,0.4519319910552545,0.36181166434238604,469.3,441.5,-41.04079678504029,-11.311036810027208
Colombia,2017,2022,Educational attainment - middle,Middle,0.41066070928356213,0.3502241715565593,699.3,628.1,-40.111730089411765,-27.087501757908296
Costa Rica,2017,2022,Educational attainment - high,High,0.13048555084352578,0.15413153224079945,2891.0,2324.8,61.66635488595,-80.57509622117244
