country,year,endpoint,education,education_label,share,income_usd_2017_ppp
Argentina,2017,initial,Educational attainment - high,High,0.23494657181527223,1983.8
Argentina,2017,initial,Educational attainment - low,Low,0.35155552813656027,922.2
Argentina,2017,initial,Educational attainment - middle,Middle,0.41349790004816744,1238.1
Argentina,2022,final,Educational attainment - high,High,0.24872786191714688,1505.4
Argentina,2022,final,Educational attainment - low,Low,0.3140242475504989,680.2
Argentina,2022,final,Educational attainment - middle,Middle,0.43724789053235424,874.5
Bolivia,2017,initial,Educational attainment - high,High,0.06141721407410222,1543.4
Bolivia,2017,initial,Educational attainment - low,Low,0.5531372807372065,819.1
Bolivia,2017,initial,Educational attainment - middle,Middle,0.38544550518869136,1137.1
Bolivia,2022,final,Educational attainment - high,High,0.06706597292685518,1513.0
Bolivia,2022,final,Educational attainment - low,Low,0.4957869752885127,763.4
Bolivia,2022,final,Educational attainment - middle,Middle,0.43714705178463215,1030.4
Brazil,2017,initial,Educational attainment - high,High,0.17276120932945346,2142.7
Brazil,2017,initial,Educational attainment - low,Low,0.41770187495477296,529.9
Brazil,2017,initial,Educational attainment - middle,Middle,0.40953691571577355,766.5
Brazil,2022,final,Educational attainment - high,High,0.21048285643107792,1895.6
Brazil,2022,final,Educational attainment - low,Low,0.3447786764966042,538.0
Brazil,2022,final,Educational attainment - middle,Middle,0.4447384670723179,740.1
Chile,2017,initial,Educational attainment - high,High,0.1586669216865197,2695.7
Chile,2017,initial,Educational attainment - low,Low,0.2990469265796736,665.8
Chile,2017,initial,Educational attainment - middle,Middle,0.5422861517338068,1081.5
Chile,2022,final,Educational attainment - high,High,0.23198113332220577,2282.3
Chile,2022,final,Educational attainment - low,Low,0.217279632687923,659.3
Chile,2022,final,Educational attainment - middle,Middle,0.5507392339898712,994.5
Colombia,2017,initial,Educational attainment - high,High,0.13740729966118334,1858.0
Colombia,2017,initial,Educational attainment - low,Low,0.4519319910552545,469.3
Colombia,2017,initial,Educational attainment - middle,Middle,0.41066070928356213,699.3
Colombia,2022,final,Educational attainment - high,High,0.28796416410105463,1721.4
Colombia,2022,final,Educational attainment - low,Low,0.36181166434238604,441.5
Colombia,2022,final,Educational attainment - middle,Middle,0.3502241715565593,628.1
Costa Rica,2017,initial,Educational attainment - high,High,0.13048555084352578,2891.0
Costa Rica,2017,initial,Educational attainment - low,Low,0.5703207329031481,843.0
Costa Rica,2017,initial,Educational attainment - middle,Middle,0.2991937162533261,1410.9
Costa Rica,2022,final,Educational attainment - high,High,0.15413153224079945,2324.8
Costa Rica,2022,final,Educational attainment - low,Low,0.4995794227940415,709.7
Costa Rica,2022,final,Educational attainment - middle,Middle,0.34628904496515905,1051.2
Dominican Republic,2017,initial,Educational attainment - high,High,0.12903576217927207,1683.6
Dominican Republic,2017,initial,Educational attainment - low,Low,0.5575850264703451,615.9
Dominican Republic,2017,initial,Educational attainment - middle,Middle,0.3133792113503828,740.0
Dominican Republic,2022,final,Educational attainment - high,High,0.1471860438878901,1390.2
Dominican Republic,2022,final,Educational attainment - low,Low,0.4789694004656419,610.5
Dominican Republic,2022,final,Educational attainment - middle,Middle,0.373844555646468,714.7
Ecuador,2017,initial,Educational attainment - high,High,0.18019525105973427,1497.7
Ecuador,2017,initial,Educational attainment - low,Low,0.4176474866174458,616.0
Ecuador,2017,initial,Educational attainment - middle,Middle,0.40215726232281995,816.2
Ecuador,2022,final,Educational attainment - high,High,0.1471978312025216,1359.4
Ecuador,2022,final,Educational attainment - low,Low,0.4718479003537386,510.1
Ecuador,2022,final,Educational attainment - middle,Middle,0.3809542684437398,694.3
El Salvador,2017,initial,Educational attainment - high,High,0.039623174297678185,1358.2
El Salvador,2017,initial,Educational attainment - low,Low,0.7577180160732399,491.2
El Salvador,2017,initial,Educational attainment - middle,Middle,0.20265880962908195,793.2
El Salvador,2022,final,Educational attainment - high,High,0.0561975499986759,1163.0
El Salvador,2022,final,Educational attainment - low,Low,0.7200537584202245,541.9
