country,workers_0,workers_1,weight_0,weight_1,midpoint_employment_weight,equal_country_weight,same_source,start_series,end_series,start_survey,end_survey
Argentina,11881463.0,13054597.0,0.05324990041634816,0.05377750720990994,0.05352481674539696,0.07142857142857142,True,1,1,EPHC-S2,EPHC-S2
Bolivia,5183677.0,6430653.0,0.023232011414799202,0.026490629168554877,0.02492995625093003,0.07142857142857142,True,1,1,ECE,ECE
Brazil,92090968.0,99260312.0,0.4127298864832643,0.40889597313788467,0.4107321764543854,0.07142857142857142,True,2,2,PNADC,PNADC
Chile,8428102.0,9004659.0,0.03777275510590108,0.037094068418602306,0.03741911664839205,0.07142857142857142,True,2,2,NENE,NENE
Colombia,22604556.0,22313714.0,0.10130826110856594,0.09191979771684015,0.09641628109132966,0.07142857142857142,False,1,2,GEIH,GEIH
Costa Rica,1993715.0,2172015.0,0.008935357978102491,0.008947465197319576,0.00894166660093064,0.07142857142857142,True,1,1,ECE,ECE
Dominican Republic,4427974.0,4777491.0,0.019845129724022942,0.019680542930415993,0.019759369651066193,0.07142857142857142,True,1,1,ECFNT,ECFNT
Ecuador,5170164.0,8174115.0,0.02317144935233887,0.03367269999580477,0.02864326152866367,0.07142857142857142,False,1,2,ENEMDU,ENEMDU
El Salvador,2691430.0,2869876.0,0.012062351200148662,0.01182225520110253,0.01193724608118029,0.07142857142857142,True,1,1,EHPM,EHPM
Guatemala,6956627.0,6949059.0,0.03117795299986869,0.02862616674222801,0.029848311837115893,0.07142857142857142,True,1,1,ENEI,ENEI
Mexico,52108865.0,58220411.0,0.23353957943217346,0.2398349464419637,0.23681986166027524,0.07142857142857142,True,1,1,ENOE,ENOE
Paraguay,3055833.0,2816226.0,0.013695519056785383,0.011601247745888735,0.01260427196169559,0.07142857142857142,False,2,3,EPHC,EPHC
Peru (Lima and Callao),4886891.0,5057319.0,0.021901886922136446,0.020833274974732235,0.021345072875496127,0.07142857142857142,True,1,1,EPE,EPE
Uruguay,1646218.0,1651545.0,0.007377958805544387,0.006803425118752476,0.007078590613142193,0.07142857142857142,False,1,4,ECH,ECH
