country,period,year,series,survey,education_groups,positive_incomes,positive_workers,stated_workers,payroll,published_total_income_usd_2017_ppp,published_total_workers,synthetic_income_usd_2017_ppp,income_reconstruction_error,worker_reconstruction_error,complete,dashboard_cells_matched,maximum_dashboard_gap,total_dashboard_gap,endpoint,selected
Argentina,2017-Q4,2017,1,EPHC-S2,3,True,True,11881463.0,15472555197.0,1302.9,11881463.0,1302.2432672643092,-0.0005040545979667406,0.0,True,3,0.0,0.0,initial,True
Argentina,2022-Q4,2022,1,EPHC-S2,3,True,True,13054597.0,12668278796.3,971.2,13054597.0,970.4074967844659,-0.0008160041346109055,0.0,True,3,0.0,0.0,final,True
Bolivia,2017-Q4,2017,1,ECE,3,True,True,5183677.0,5111914998.8,1000.4,5183677.0,986.1561588038761,-0.014238145937748768,0.0,True,3,0.0,0.0,initial,True
Bolivia,2022-Q4,2022,1,ECE,3,True,True,6430653.0,5983021136.0,942.8,6430653.0,930.3909161324674,-0.013161947250246669,0.0,True,3,0.0,0.0,final,True
Brazil,2017-Q4,2017,2,PNADC,3,True,True,92090968.0,83381530331.4,911.0,92090968.0,905.4257126648945,-0.006118866449073007,0.0,True,3,0.0,0.0,initial,True
Brazil,2022-Q4,2022,2,PNADC,3,True,True,99260312.0,90687513516.3,917.3,99260312.0,913.6331700861468,-0.003997416236621739,0.0,True,3,0.0,0.0,final,True
Chile,2017-Q4,2017,2,NENE,3,True,True,8428102.0,10225869570.599998,1223.8,8454827.0,1213.3063376072096,-0.008574654676246433,-0.003160916243466602,True,3,0.0,0.0,initial,True
Chile,2022-Q4,2022,2,NENE,3,True,True,9004659.0,10989404440.5,1233.0,9017207.0,1220.4131706153448,-0.01020829633791985,-0.0013915617108490467,True,3,0.0,0.0,final,True
Colombia,2017-Q4,2017,1,GEIH,3,True,True,22604556.0,17056708070.5,761.4,22609309.0,754.5694801747046,-0.008971000558570225,-0.00021022314304254056,True,3,0.0,0.0,initial,True
Colombia,2022-Q4,2022,2,GEIH,3,True,True,22313714.0,19533808229.2,880.4,22314249.0,875.4171640453939,-0.005659740975245475,-2.3975711662982698e-05,True,3,0.0,0.0,final,True
Costa Rica,2017-Q4,2017,1,ECE,3,True,True,1993715.0,2552247318.3,1295.2,1995256.0,1280.1465195878047,-0.011622514215715961,-0.0007723319714362468,True,3,0.0,0.0,initial,True
Costa Rica,2022-Q4,2022,1,ECE,3,True,True,2172015.0,2339033280.6000004,1086.7,2173061.0,1076.8955465777171,-0.00902222639392924,-0.00048134865979371954,True,3,0.0,0.0,final,True
Dominican Republic,2017-Q4,2017,1,ECFNT,3,True,True,4427974.0,3509443236.0,793.6,4432512.0,792.5618434073913,-0.001308161028992872,-0.0010237986947356263,True,3,0.0,0.0,initial,True
Dominican Republic,2022-Q4,2022,1,ECFNT,3,True,True,4777491.0,3651032965.3,765.1,4779025.0,764.2155611177499,-0.001155978149588487,-0.0003209859751727601,True,3,0.0,0.0,final,True
Ecuador,2017-Q4,2017,1,ENEMDU,3,True,True,5170164.0,4422506774.1,861.8,5170164.0,855.3900367763963,-0.007437877957302917,0.0,True,3,0.0,0.0,initial,True
Ecuador,2022-Q4,2022,2,ENEMDU,3,True,True,8174115.0,5765096181.9,720.2,8174410.0,705.2868942876385,-0.020706894907472347,-3.6088231444226554e-05,True,3,0.0,0.0,final,True
El Salvador,2017-Q4,2017,1,EHPM,3,True,True,2691430.0,1579213381.0,589.7,2693909.0,586.7562526240697,-0.004991940606970227,-0.0009202241055655555,True,3,0.0,0.0,initial,True
El Salvador,2022-Q4,2022,1,EHPM,3,True,True,2869876.0,1803945925.8,630.7,2869876.0,628.579745536044,-0.0033617480005644997,0.0,True,3,0.0,0.0,final,True
Guatemala,2017-Q4,2017,1,ENEI,3,True,True,6956627.0,4028404993.0,585.5,6956627.0,579.0744556233933,-0.010974456663717668,0.0,True,3,0.0,0.0,initial,True
Guatemala,2022-Q4,2022,1,ENEI,3,True,True,6949059.0,4373276935.299999,634.0,6949059.0,629.3336889642179,-0.007360112043820326,0.0,True,3,0.0,0.0,final,True
Mexico,2017-Q4,2017,1,ENOE,3,True,True,52108865.0,32607173804.0,598.1,52175410.0,625.7509888960352,0.046231380866134736,-0.0012754092397165638,True,3,0.0,0.0,initial,True
Mexico,2022-Q4,2022,1,ENOE,3,True,True,58220411.0,38224665301.2,635.5,58310722.0,656.5509353961792,0.03312499668950302,-0.0015487889174138506,True,3,0.0,0.0,final,True
Paraguay,2017-Q4,2017,2,EPHC,3,True,True,3055833.0,3054170042.1,1007.0,3058454.0,999.4558086453022,-0.007491749110921324,-0.0008569689130521499,True,3,0.0,0.0,initial,True
Paraguay,2022-Q4,2022,3,EPHC,3,True,True,2816226.0,2594857283.2,926.8,2820258.0,921.395258477125,-0.005831615799390299,-0.0014296564356877988,True,3,0.0,0.0,final,True
Peru (Lima and Callao),2017-Q4,2017,1,EPE,3,True,True,4886891.0,4478506495.1,923.7,4886891.0,916.4326552607783,-0.007867646139679224,0.0,True,3,0.0,0.0,initial,True
Peru (Lima and Callao),2022-Q4,2022,1,EPE,3,True,True,5057319.0,4046316078.3,804.8,5060633.0,800.0911309529813,-0.0058509804262160195,-0.0006548587894044085,True,3,0.0,0.0,final,True
Uruguay,2017-Q4,2017,1,ECH,3,True,True,1646218.0,1935386844.0,1175.9,1648689.0,1175.656470771186,-0.00020710028813178684,-0.0014987665957618447,True,3,0.0,0.0,initial,True
Uruguay,2022-Q4,2022,4,ECH,3,True,True,1651545.0,1846467382.8000002,1120.0,1651917.0,1118.0242638256907,-0.0017640501556333073,-0.0002251929122346946,True,3,0.0,0.0,final,True
